extract_date,id,title,street_name,general_address,apartment_type,stock,total_area,used_area,rooms,bedrooms,bathrooms,cold_rent,total_rent,condition
yesterday,111643643,Helle 2-Zimmer-Wohnung mit Ausblick,Hohenschönhauser Weg ,"10315 Berlin, Friedrichsfelde (Lichtenberg)",,,,,,,,,,
yesterday,111643599,City-Appartement am Lietzensee,Kaiserdamm a,"14057 Berlin, Charlottenburg (Charlottenburg)",,,,,,,,,,
yesterday,111643173,"Ruhige, helle 2-Zimmer-Wohnung mit Balkon",PaulZobelStr.  c,"10367 Berlin, Lichtenberg (Lichtenberg)",Etagenwohnung,3 von 5,"60,68 m²",,2,1,1,598 €,768 €,
yesterday,111642763,"Teilmöblierte Wohnung in Berlin, Kreuzberg zur Untermiete",,10961 Berlin Kreuzberg,Etagenwohnung,4 von 4,77 m²,77 m²,2,1,1,1.070 €,1.200 €,
yesterday,111642310,Traumhafte Wohnung mit Kamin im kernsanierten Altbau,Lietzenburger Str. ,"10719 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,5 von 6,210 m²,,6,5,2,3.780 €,4.389 €,Erstbezug nach Sanierung
yesterday,111641683,Schöne 2-Zimmerwohnung in stilvollem Altbau im Herzen von Friedrichshagen,,12587 Berlin,Etagenwohnung,3 von 4,"69,87 m²",3 m²,2,1,1,"740,62 €","989,57 €",
yesterday,111641565,1-Zimmer-Wohnung in Weißensee - ideal für Studenten,GustavAdolfStraße ,"13086 Berlin, Weißensee (Weißensee)",,3 von 5,"34,57 m²","34,57 m²",1,,1,"307,67 €","431,67 €",Gepflegt
yesterday,111640958,Coole Wohnung am Checkpoint Charlie - neue Möbel und TV geschenkt!,Friedrichstraße ,"10969 Berlin, Kreuzberg (Kreuzberg)",Etagenwohnung,2 von 5,70 m²,,2,1,1,1.185 €,1.343 €,Vollständig renoviert
yesterday,111640456,"Komplett möblierte, kleine aber feine Singlewohnung mit Balkon",Löwenberger Str. ,"10315 Berlin, Friedrichsfelde (Lichtenberg)",Etagenwohnung,10 von 10,26 m²,,1,,1,599 €,679 €,Erstbezug nach Sanierung
yesterday,111640188,"Klein, fein, mein....",WilhelmHoffStraße ,"12489 Berlin, Adlershof (Treptow)",Terrassenwohnung,0 von 2,67 m²,,3,2,,"703,50 €","837,50 €",Erstbezug
yesterday,111640124,Großzügige Wohnung sucht Mieter.,Parkstr. b,"13585 Berlin, Spandau (Spandau)",Etagenwohnung,2,"65,18 m²",,2,,,"521,44 €","747,40 €",Gepflegt
yesterday,111640113,Wohnung sucht Familie!,Gotthardstr. ,"13407 Berlin, Reinickendorf (Reinickendorf)",Etagenwohnung,3,"71,56 m²",,"2,5",,,"571,83 €","843,83 €",Modernisiert
yesterday,111640084,Ruhige Seniorenwohnung im schönen Zehlendorf,Beerenstr. ,"14163 Berlin, Zehlendorf (Zehlendorf)",Etagenwohnung,2,"35,38 m²",,1,,,"450,81 €","582,28 €",Modernisiert
yesterday,111639724,Eine Terrassenwohnung für Laufmuffel....,WilhelmHoffStraße ,"12489 Berlin, Adlershof (Treptow)",Terrassenwohnung,0 von 2,77 m²,,3,2,,"808,50 €","962,50 €",Erstbezug
yesterday,111639459,Erstbezug: Helle 2-Zimmer-Wohnung im Dachgeschoss mit Balkon!,Allendeweg ,"12559 Berlin, Köpenick (Köpenick)",Dachgeschoss,4 von 4,"64,02 m²",,2,,,"717,02 €","864,27 €",Gepflegt
yesterday,111639458,Moderne 2-Zimmer-Wohnung im Neubau!,Allendeweg ,"12559 Berlin, Köpenick (Köpenick)",Sonstige,2 von 4,"63,27 m²",,2,,,"689,64 €","835,17 €",Gepflegt
yesterday,111639455,Erstbezug: Erdgeschosswohnung mit Terrasse!,Am Amtsgraben ,"12559 Berlin, Köpenick (Köpenick)",Erdgeschosswohnung,0 von 5,"66,5 m²",,2,,,"698,25 €","851,20 €",Gepflegt
yesterday,111639454,Besichtigung 14.12. von 08:00-10:00 Uhr! Treff: Musterwohnung Am Amtsgraben 6,Am Amtsgraben ,"12559 Berlin, Köpenick (Köpenick)",Sonstige,3 von 5,"52,37 m²",,1,,,"623,20 €","743,66 €",Gepflegt
